mouth open,eyes squinting,furry,menacing,excited,whiskers,pointy ears,big nose,sad face,spots on body,frightened,old age,big animal,dark fur,suspicious face,x,y,image_filename
0.120643295,0.21265268,0.21758643,0.18623611,0.10491283,0.25442123,0.23935272,0.15346545,0.17248732,0.14319699,0.12930754,0.15896335,0.11672425,0.08827303,0.18358701,1.29926,12.449347,animal-0.jpg
0.124341294,0.18059683,0.19843253,0.22394736,0.16971615,0.23245932,0.17747721,0.19071549,0.16959971,0.09471809,0.1283508,0.16492814,0.2379812,0.09379138,0.19881678,7.649081,10.38881,animal-1.jpg
0.16335884,0.22640966,0.21032868,0.19616799,0.14842409,0.25032613,0.25397027,0.19812036,0.13231057,0.1496231,0.13222824,0.10980523,0.11700922,0.12384408,0.16865768,2.3394542,12.265274,animal-2.jpg
0.114011765,0.14445505,0.22791214,0.15577139,0.1606949,0.16994213,0.22965875,0.19424787,0.13022263,0.097693376,0.12100563,0.15597805,0.12486823,0.11768468,0.17342848,-1.3452952,2.611696,animal-3.jpg
0.2221825,0.19939551,0.20767853,0.21965557,0.19810362,0.26986995,0.23076381,0.20981014,0.11998989,0.095172934,0.18277596,0.11643736,0.13448581,0.034514353,0.21099988,0.8209601,8.368398,animal-4.jpg
0.12001914,0.13976464,0.19004428,0.15377069,0.15664944,0.13242124,0.211178,0.18214841,0.11754805,0.09467876,0.11682644,0.11117764,0.12930939,0.01910237,0.13325493,-3.7934237,-0.10956783,animal-5.jpg
0.14013505,0.16668603,0.22160679,0.15998936,0.123645976,0.14709362,0.20635952,0.21215506,0.14111094,0.13251172,0.13531056,0.117722794,0.16819271,0.037433337,0.1689263,-2.1517437,0.23558088,animal-6.jpg
0.12395885,0.23408476,0.2257832,0.18993288,0.1277883,0.25652185,0.24257013,0.16676243,0.14528908,0.13708971,0.13694982,0.15396704,0.11832355,0.103416935,0.19009694,1.636762,12.201313,animal-7.jpg
0.13433516,0.20821132,0.21506435,0.1842916,0.14082617,0.2632808,0.23003814,0.1962888,0.17352681,0.1380745,0.14460096,0.1413764,0.12163702,0.09962013,0.17611706,1.9360238,11.744819,animal-8.jpg
0.12760508,0.17208412,0.20106904,0.23342487,0.16299278,0.22290285,0.1535156,0.17470361,0.16120568,0.101177394,0.12426469,0.16852483,0.23730843,0.1042305,0.19559285,7.842305,10.634559,animal-9.jpg
0.13406456,0.20277017,0.19131142,0.20400496,0.17612843,0.18648726,0.18623772,0.18911582,0.16684082,0.19201382,0.13985772,0.16812313,0.19747517,0.10529353,0.20683736,13.182791,1.5692114,animal-10.jpg
0.12697881,0.19031346,0.26250887,0.20586954,0.15737328,0.20083112,0.24459693,0.19694427,0.1375278,0.13461751,0.113702945,0.18242656,0.17929837,0.19596727,0.22912805,4.200638,5.519356,animal-11.jpg
0.12471964,0.21972293,0.16893128,0.21172997,0.17205495,0.18295127,0.15831149,0.16441852,0.13642943,0.16362172,0.13084391,0.14012805,0.21049914,0.09395301,0.23867872,13.115349,-2.1422372,animal-12.jpg
0.12166354,0.22123784,0.20898095,0.18617594,0.15057237,0.23036629,0.22906195,0.1774916,0.1502178,0.15128416,0.13977037,0.15289187,0.14799458,0.060126696,0.2070097,1.5150754,12.044779,animal-13.jpg
0.17643225,0.18961303,0.23573679,0.16916782,0.15341058,0.17563875,0.16708273,0.1565546,0.13765706,0.13381912,0.15273115,0.1874414,0.19445138,0.17097124,0.18737793,2.9121623,0.538966,animal-14.jpg
0.10318518,0.1363449,0.23197483,0.14575687,0.121721,0.16451281,0.23453484,0.20057982,0.111048535,0.10127212,0.09748247,0.14971477,0.14105448,0.1251886,0.14267492,-1.4860265,2.4769568,animal-15.jpg
0.14355649,0.12582272,0.18267187,0.20789427,0.13447145,0.11336076,0.17282915,0.20055772,0.10470531,0.08224484,0.1283638,0.15423328,0.194258,0.061917953,0.15002078,-2.494093,-0.11670183,animal-16.jpg
0.096740685,0.222229,0.23548257,0.1646141,0.13413163,0.22907905,0.18964307,0.17614514,0.16610542,0.14233662,0.15033798,0.15659252,0.11427411,0.112344354,0.21978179,0.75692904,10.842002,animal-17.jpg
0.15247671,0.13545702,0.21997316,0.19142553,0.17339483,0.13726163,0.2360138,0.19375256,0.068197936,0.08931903,0.1183201,0.12408961,0.15668072,0.09339376,0.13371974,-3.267514,2.9464781,animal-18.jpg
0.0976559,0.1302533,0.240724,0.14652237,0.11964216,0.14365381,0.18561828,0.18453445,0.12248188,0.09270187,0.08860089,0.13353048,0.12750575,0.09645649,0.10632514,-2.1655498,1.4091396,animal-19.jpg
0.12324199,0.16386424,0.21941808,0.15942007,0.1187346,0.14597388,0.21516415,0.17527902,0.1213735,0.11014315,0.113430604,0.19111022,0.1649999,0.17170909,0.15410915,1.7462246,2.9757135,animal-20.jpg
0.19320114,0.23472852,0.25710052,0.20789826,0.13081335,0.29364216,0.2580465,0.2401866,0.17873064,0.15811802,0.16044278,0.14855073,0.14442126,0.17774683,0.22387064,3.536758,9.750013,animal-21.jpg
0.13843445,0.17064098,0.21955422,0.17364898,0.15998751,0.1850136,0.2579696,0.21269542,0.13390966,0.10529577,0.120676324,0.14066848,0.1566802,0.057452712,0.19152579,-3.6834278,2.8597105,animal-22.jpg
0.10148635,0.17843367,0.20162177,0.19307986,0.1497083,0.21393202,0.19850112,0.14541477,0.083678804,0.110300995,0.10626873,0.10582057,0.1184346,0.05802623,0.17282869,-2.7550697,12.117397,animal-23.jpg
0.15983659,0.23285535,0.23220298,0.22195767,0.16146722,0.25808087,0.2769537,0.19970816,0.14883466,0.1591752,0.13667893,0.13156849,0.12296922,0.13251919,0.22418207,3.2667308,11.619593,animal-24.jpg
0.103375375,0.20167015,0.20240498,0.17602108,0.14351927,0.22247578,0.25923163,0.16554348,0.11448848,0.13872129,0.11210158,0.12106815,0.102777235,0.05382147,0.18983468,-1.1072899,13.22847,animal-25.jpg
0.14304307,0.18624891,0.23447526,0.15437509,0.14458042,0.1675517,0.1917412,0.1861868,0.14139399,0.11090385,0.15770584,0.17776889,0.1827267,0.13937813,0.16985995,1.4248077,1.8131754,animal-26.jpg
0.14705768,0.19634493,0.1759198,0.22409931,0.17870982,0.18660495,0.14666848,0.164228,0.14515235,0.12737292,0.14403307,0.14694004,0.22970602,0.092640445,0.24225894,12.668946,-2.8384216,animal-27.jpg
0.09180952,0.15785208,0.16801625,0.14922526,0.12500063,0.119720116,0.22712742,0.17802672,0.09619658,0.10177499,0.0927462,0.11637916,0.11562798,0.08329358,0.10387368,-3.3362463,1.1098475,animal-28.jpg
0.17368448,0.17852649,0.21117842,0.19568928,0.15640798,0.16024965,0.17912315,0.17133614,0.11133154,0.13596445,0.14292029,0.18280675,0.18512693,0.17349495,0.21124208,2.962737,0.22328873,animal-29.jpg
0.12164349,0.22548416,0.15407264,0.21501923,0.17098032,0.17747764,0.18577918,0.18329588,0.15335813,0.1992004,0.13024357,0.16484796,0.23554118,0.112224884,0.2227248,14.224065,-0.15300846,animal-30.jpg
0.10535304,0.15304214,0.20655802,0.15989837,0.13097398,0.17108682,0.2514987,0.18552521,0.1273298,0.10283481,0.10414614,0.16574912,0.13733023,0.047052957,0.17265742,-3.4403973,1.8885608,animal-31.jpg
0.10144068,0.17803591,0.23342547,0.16381735,0.13931979,0.21977049,0.227148,0.16549677,0.13166708,0.15604258,0.11678546,0.17447892,0.13977937,0.13261764,0.19652483,2.4919286,6.169139,animal-32.jpg
